GSE	GSM	treatment	group	organism	biological_system	dose	dose_unit	time_point	time_point_unit	slide	array	dye	platform	filenames	donor
GSE127773	GSM3638483	control	control_Asthmatic	Homo sapiens	Bronchial epithelium	0	mg/m3	24	h	US11263921_257236315276	1_2	Cy5	GPL21185	GSM3638483_US11263921_257236315276_S01_GE2_1200_Jun14_1_2_Cy5.txt.gz	E
GSE127773	GSM3638484	CuO_COOH	CuO_COOH_495_Asthmatic	Homo sapiens	Bronchial epithelium	495	mg/m3	24	h	US11263921_257236315276	1_3	Cy5	GPL21185	GSM3638484_US11263921_257236315276_S01_GE2_1200_Jun14_1_3_Cy5.txt.gz	G
GSE127773	GSM3638485	CuO	CuO_470_Healthy	Homo sapiens	Bronchial epithelium	470	mg/m3	24	h	US11263921_257236315276	1_4	Cy5	GPL21185	GSM3638485_US11263921_257236315276_S01_GE2_1200_Jun14_1_4_Cy5.txt.gz	A
GSE127773	GSM3638486	control	control_Healthy	Homo sapiens	Bronchial epithelium	0	mg/m3	24	h	US11263921_257236315276	2_1	Cy5	GPL21185	GSM3638486_US11263921_257236315276_S01_GE2_1200_Jun14_2_1_Cy5.txt.gz	C
GSE127773	GSM3638487	CuO	CuO_470_Asthmatic	Homo sapiens	Bronchial epithelium	470	mg/m3	24	h	US11263921_257236315276	2_3	Cy5	GPL21185	GSM3638487_US11263921_257236315276_S01_GE2_1200_Jun14_2_3_Cy5.txt.gz	D
GSE127773	GSM3638488	CuO	CuO_120_Asthmatic	Homo sapiens	Bronchial epithelium	120	mg/m3	24	h	US11263921_257236315276	2_4	Cy5	GPL21185	GSM3638488_US11263921_257236315276_S01_GE2_1200_Jun14_2_4_Cy5.txt.gz	F
GSE127773	GSM3638489	control	control_Asthmatic	Homo sapiens	Bronchial epithelium	0	mg/m3	24	h	US11263921_257236316232	1_2	Cy5	GPL21185	GSM3638489_US11263921_257236316232_S01_GE2_1200_Jun14_1_2_Cy5.txt.gz	F
GSE127773	GSM3638490	CuO_COOH	CuO_COOH_32_Asthmatic	Homo sapiens	Bronchial epithelium	32	mg/m3	24	h	US11263921_257236316232	1_3	Cy5	GPL21185	GSM3638490_US11263921_257236316232_S01_GE2_1200_Jun14_1_3_Cy5.txt.gz	G
GSE127773	GSM3638491	CuO	CuO_23_Asthmatic	Homo sapiens	Bronchial epithelium	23	mg/m3	24	h	US11263921_257236316232	2_1	Cy5	GPL21185	GSM3638491_US11263921_257236316232_S01_GE2_1200_Jun14_2_1_Cy5.txt.gz	D
GSE127773	GSM3638492	CuO	CuO_120_Asthmatic	Homo sapiens	Bronchial epithelium	120	mg/m3	24	h	US11263921_257236316232	2_2	Cy5	GPL21185	GSM3638492_US11263921_257236316232_S01_GE2_1200_Jun14_2_2_Cy5.txt.gz	G
GSE127773	GSM3638493	CuO	CuO_23_Healthy	Homo sapiens	Bronchial epithelium	23	mg/m3	24	h	US11263921_257236316232	2_3	Cy5	GPL21185	GSM3638493_US11263921_257236316232_S01_GE2_1200_Jun14_2_3_Cy5.txt.gz	A
GSE127773	GSM3638494	CuO	CuO_120_Healthy	Homo sapiens	Bronchial epithelium	120	mg/m3	24	h	US11263921_257236316233	1_2	Cy5	GPL21185	GSM3638494_US11263921_257236316233_S01_GE2_1200_Jun14_1_2_Cy5.txt.gz	B
GSE127773	GSM3638495	CuO_COOH	CuO_COOH_32_Asthmatic	Homo sapiens	Bronchial epithelium	32	mg/m3	24	h	US11263921_257236316233	1_4	Cy5	GPL21185	GSM3638495_US11263921_257236316233_S01_GE2_1200_Jun14_1_4_Cy5.txt.gz	H
GSE127773	GSM3638496	CuO_COOH	CuO_COOH_495_Asthmatic	Homo sapiens	Bronchial epithelium	495	mg/m3	24	h	US11263921_257236316233	2_1	Cy5	GPL21185	GSM3638496_US11263921_257236316233_S01_GE2_1200_Jun14_2_1_Cy5.txt.gz	F
GSE127773	GSM3638497	CuO_COOH	CuO_COOH_32_Healthy	Homo sapiens	Bronchial epithelium	32	mg/m3	24	h	US11263921_257236316233	2_4	Cy5	GPL21185	GSM3638497_US11263921_257236316233_S01_GE2_1200_Jun14_2_4_Cy5.txt.gz	B
GSE127773	GSM3638498	CuO_COOH	CuO_COOH_495_Asthmatic	Homo sapiens	Bronchial epithelium	495	mg/m3	24	h	US11263921_257236316234	1_2	Cy5	GPL21185	GSM3638498_US11263921_257236316234_S01_GE2_1200_Jun14_1_2_Cy5.txt.gz	H
GSE127773	GSM3638499	CuO_COOH	CuO_COOH_128_Healthy	Homo sapiens	Bronchial epithelium	128	mg/m3	24	h	US11263921_257236316234	1_3	Cy5	GPL21185	GSM3638499_US11263921_257236316234_S01_GE2_1200_Jun14_1_3_Cy5.txt.gz	C
GSE127773	GSM3638500	control	control_Asthmatic	Homo sapiens	Bronchial epithelium	0	mg/m3	24	h	US11263921_257236316234	2_1	Cy5	GPL21185	GSM3638500_US11263921_257236316234_S01_GE2_1200_Jun14_2_1_Cy5.txt.gz	G
GSE127773	GSM3638501	CuO_COOH	CuO_COOH_128_Asthmatic	Homo sapiens	Bronchial epithelium	128	mg/m3	24	h	US11263921_257236316234	2_2	Cy5	GPL21185	GSM3638501_US11263921_257236316234_S01_GE2_1200_Jun14_2_2_Cy5.txt.gz	E
