nanoparticle,type_organic_inorganic,coat,diameter,dose,zeta_potential,cell_line,cell_line_or_primary,human_or_animal,animal_species,cell_morphology,cell_age_embryonic_or_adult,cell_organ_or_tissue,exposure_time,test_assay,test_indicator,biochemical_metric,cell_viability,inference_checked_y_n,colloidal_stability_checked_y_n,positive_control_y_n,publication_year,particle_id,reference_doi,row_num
CuO,I,,52.51,0.00008678315397,-39.67,A549,L,H,,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,66.055046,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,11
CuO,I,,52.51,0.0001735663079,-39.67,A549,L,H,,Epithelial,A,Lung,24,MTT,tetrazolium salt,cell metabolic activity,48.16514,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,12
CuO,I,,52.51,0.00003471326159,-39.67,A549,L,H,,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,84.71387,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,13
CuO,I,,52.51,0.00008678315397,-39.67,A549,L,H,,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,68.67281,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,14
CuO,I,,52.51,0.0001735663079,-39.67,A549,L,H,,Epithelial,A,Lung,24,NR,toluylene red,lysosomal uptake,45.37968,N,N,N,2010,3,10.1016/j.bbrc.2010.04.156,15
CuO,I,,239,0,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,4,10.1007/s10565-011-9191-9,16
CuO,I,,239,0.0000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,17
CuO,I,,239,0.000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,18
CuO,I,,239,0.00000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,4,10.1007/s10565-011-9191-9,19
CuO,I,,239,0.0000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,84.26966,N,Y,N,2011,4,10.1007/s10565-011-9191-9,20
CuO,I,,239,0.0000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,65.16854,N,Y,N,2011,4,10.1007/s10565-011-9191-9,21
CuO,I,,239,0.0000007363050324,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,46.067417,N,Y,N,2011,4,10.1007/s10565-011-9191-9,22
CuO,I,,239,0.000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,16.853933,N,Y,N,2011,4,10.1007/s10565-011-9191-9,23
CuO,I,,239,0.000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,14.606742,N,Y,N,2011,4,10.1007/s10565-011-9191-9,24
CuO,I,,239,0,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,25
CuO,I,,239,0.0000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,100,N,Y,N,2011,4,10.1007/s10565-011-9191-9,26
CuO,I,,239,0.000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,4,10.1007/s10565-011-9191-9,27
CuO,I,,239,0.00000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,4,10.1007/s10565-011-9191-9,28
CuO,I,,239,0.0000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,75.2809,N,Y,N,2011,4,10.1007/s10565-011-9191-9,29
CuO,I,,239,0.0000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,43.820225,N,Y,N,2011,4,10.1007/s10565-011-9191-9,30
CuO,I,,239,0.0000007363050324,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,15.730337,N,Y,N,2011,4,10.1007/s10565-011-9191-9,31
CuO,I,,239,0.000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,13.483146,N,Y,N,2011,4,10.1007/s10565-011-9191-9,32
CuO,I,,239,0.000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,13.483146,N,Y,N,2011,4,10.1007/s10565-011-9191-9,33
CuO,I,,239,0,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,46.294353,N,Y,N,2011,4,10.1007/s10565-011-9191-9,34
CuO,I,,239,0.0000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.390324,N,Y,N,2011,4,10.1007/s10565-011-9191-9,35
CuO,I,,239,0.000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,44.36371,N,Y,N,2011,4,10.1007/s10565-011-9191-9,36
CuO,I,,239,0.00000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,33.08468,N,Y,N,2011,4,10.1007/s10565-011-9191-9,37
CuO,I,,239,0.0000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,27.435486,N,Y,N,2011,4,10.1007/s10565-011-9191-9,38
CuO,I,,239,0.0000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.40403,N,Y,N,2011,4,10.1007/s10565-011-9191-9,39
CuO,I,,239,0.0000007363050324,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,12.37742,N,Y,N,2011,4,10.1007/s10565-011-9191-9,40
CuO,I,,239,0.000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,-6.40161,N,Y,N,2011,4,10.1007/s10565-011-9191-9,41
CuO,I,,239,0.000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,-32.67822,N,Y,N,2011,4,10.1007/s10565-011-9191-9,42
CuO,I,,239,0,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,43.374195,N,Y,N,2011,4,10.1007/s10565-011-9191-9,43
CuO,I,,239,0.0000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,41.47016,N,Y,N,2011,4,10.1007/s10565-011-9191-9,44
CuO,I,,239,0.000000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,45.19597,N,Y,N,2011,4,10.1007/s10565-011-9191-9,45
CuO,I,,239,0.00000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,30.16451,N,Y,N,2011,4,10.1007/s10565-011-9191-9,46
CuO,I,,239,0.0000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,11.39032,N,Y,N,2011,4,10.1007/s10565-011-9191-9,47
CuO,I,,239,0.0000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,5.73629,N,Y,N,2011,4,10.1007/s10565-011-9191-9,48
CuO,I,,239,0.0000007363050324,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-1.79274,N,Y,N,2011,4,10.1007/s10565-011-9191-9,49
CuO,I,,239,0.000001840762581,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-16.81935,N,Y,N,2011,4,10.1007/s10565-011-9191-9,50
CuO,I,,239,0.000003681525162,,HCMEC,P,H,,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-37.47339,N,Y,N,2011,4,10.1007/s10565-011-9191-9,51
CuO,I,,33,0.001,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,34.999928,N,N,N,2008,5,10.1080/17458080802235765,52
CuO,I,,33,0.1,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,32.006794,N,N,N,2008,5,10.1080/17458080802235765,53
CuO,I,,33,1,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,37.407795,N,N,N,2008,5,10.1080/17458080802235765,54
CuO,I,,33,10,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,41.71446,N,N,N,2008,5,10.1080/17458080802235765,55
CuO,I,,33,100,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,-1.4239597,N,N,N,2008,5,10.1080/17458080802235765,56
CuO,I,,33,0.001,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,71.82643,N,N,N,2008,5,10.1080/17458080802235765,57
CuO,I,,33,0.1,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,59.056118,N,N,N,2008,5,10.1080/17458080802235765,58
CuO,I,,33,1,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,68.19899,N,N,N,2008,5,10.1080/17458080802235765,59
CuO,I,,33,10,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,38.425575,N,N,N,2008,5,10.1080/17458080802235765,60
CuO,I,,33,100,,H4,L,H,,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,-0.036262684,N,N,N,2008,5,10.1080/17458080802235765,61
CuO,I,,33,0.001,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.65237,N,N,N,2008,5,10.1080/17458080802235765,62
CuO,I,,33,0.1,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.91648,N,N,N,2008,5,10.1080/17458080802235765,63
CuO,I,,33,1,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.65237,N,N,N,2008,5,10.1080/17458080802235765,64
CuO,I,,33,10,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,89.75169,N,N,N,2008,5,10.1080/17458080802235765,65
CuO,I,,33,100,,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,41.083523,N,N,N,2008,5,10.1080/17458080802235765,66
CuO,I,,33,0.001,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.284424,N,N,N,2008,5,10.1080/17458080802235765,67
CuO,I,,33,0.1,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.60045,N,N,N,2008,5,10.1080/17458080802235765,68
CuO,I,,33,1,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.33634,N,N,N,2008,5,10.1080/17458080802235765,69
CuO,I,,33,10,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,90.06772,N,N,N,2008,5,10.1080/17458080802235765,70
CuO,I,,33,100,,H4,L,H,,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,60.6772,N,N,N,2008,5,10.1080/17458080802235765,71
CuS,I,,3,100,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,97.88231,N,N,N,2010,6,10.2217/nnm.10.85,72
CuS,I,,3,200,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,96.61061,N,N,N,2010,6,10.2217/nnm.10.85,73
CuS,I,,3,400,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,95.936755,N,N,N,2010,6,10.2217/nnm.10.85,74
CuS,I,,3,0.001,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,100.76336,N,N,N,2010,6,10.2217/nnm.10.85,75
CuS,I,,3,0.01,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,101.52672,N,N,N,2010,6,10.2217/nnm.10.85,76
CuS,I,,3,0.1,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,100,N,N,N,2010,6,10.2217/nnm.10.85,77
CuS,I,,3,1,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,103.30789,N,N,N,2010,6,10.2217/nnm.10.85,78
CuS,I,,3,10,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,97.96438,N,N,N,2010,6,10.2217/nnm.10.85,79
CuS,I,,3,100,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,89.31298,N,N,N,2010,6,10.2217/nnm.10.85,80
CuS,I,,3,1000,,HEK-293,L,H,,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,52.92621,N,N,N,2010,6,10.2217/nnm.10.85,81
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,100.481926,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,82
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,96.14458,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,83
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,91.084335,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,84
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,85
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,86
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,69.39759,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,87
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,96.14458,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,88
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,93.97591,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,89
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,90.36144,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,90
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,85.30121,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,91
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,76.6265,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,92
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,63.614456,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,93
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,99.75903,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,94
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,88.19277,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,95
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,96
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,52.04819,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,97
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,26.024096,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,98
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,7.2289157,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,99
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,90.36144,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,100
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,88.19277,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,101
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,102
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,41.92771,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,103
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,9.397591,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,104
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,6.506024,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,105
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,100.52232,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,106
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,97.6419,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,107
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,98.22968,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,108
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,104.363815,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,109
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,101.48339,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,110
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,99.29382,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,111
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,99.02918,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,112
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,98.22968,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,113
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,95.34369,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,114
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,92.463264,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,115
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,82.640854,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,116
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,63.115814,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,117
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,101.80375,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,118
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,101.001465,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,119
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,97.424614,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,120
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,88.99784,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,121
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,54.897972,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,122
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,48.549343,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,123
ZnO,I,,165,0.000000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,93.477264,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,124
ZnO,I,,165,0.00000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,91.98412,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,125
ZnO,I,,165,0.0000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,96.73376,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,126
ZnO,I,,165,0.0000006292252552,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,69.57309,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,127
ZnO,I,,165,0.000001006760408,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,43.79971,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,128
ZnO,I,,165,0.000002516901021,-26,A431,L,H,,Epithelial,A,Skin,48,NR,toluylene red,lysosomal uptake,34.67651,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008,129
ZnO,I,,10,0.0008479675499,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST-1,tetrazolium salt,cell metabolic activity,124.066376,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,130
ZnO,I,,11,0.002703538656,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST-1,tetrazolium salt,cell metabolic activity,136.3089,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,131
ZnO,I,,12,0.003617542977,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST-1,tetrazolium salt,cell metabolic activity,76.85051,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,132
ZnO,I,,13,0.01005932587,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST-1,tetrazolium salt,cell metabolic activity,31.543184,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,133
ZnO,I,,14,0.01443193574,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,WST-1,tetrazolium salt,cell metabolic activity,27.747828,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,134
ZnO,I,,15,0.0001328473615,,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,27.093307,Y,N,Y,2012,8,10.1016/j.tiv.2011.12.006,135
